Transaction Description	Category
OTTER.AI	Entertainment
STORA COOP BACKA	Food & Dining
RYANAIR0000000EW	Travel & Transport
Överföring via internet	Transfer
WILLYS HEMMA KVI	Food & Dining
Zalando Payments	Shopping
Wise	Transfer
DELSJOGRILLEN	Food & Dining
WILLYS WIESELGRE	Food & Dining
Swish skickad +46704692993	Transfer
DAHLS BAGERI	Food & Dining
WILLYS WIESELGRE	Food & Dining
COOP LUNDBY	Food & Dining
IKEA BACKEBOL KI	Shopping
IKEA BACKEBOL KI	Shopping
IKEA BACKEBOL HF	Shopping
BILTEMA SWEDEN G	Shopping
BAUHAUS GOTEBORG	Shopping
BAUHAUS GOTEBORG	Shopping
BAUHAUS GOTEBORG	Shopping
KD APOTEK	Health & Beauty
INDIAN FOOD HOUS	Food & Dining
SAIGON CITY	Food & Dining
ROBERTS COFFEE	Food & Dining
hallon	Bills & Utilities
NAE Group Handli	Transfer
Zettle_*Kafe Alk	Entertainment
Swish The Hive	Transfer
WILLYS WIESELGRE	Food & Dining
T Hedvig cj	Transfer
Swish Västtrafik To Go	Transfer
PRIS NYCKELKUND	Fees & Charges
Skandia	Income
Telenor	Bills & Utilities
Telenor	Bills & Utilities
WALLENSTAM AB	Income
SAIGON CITY	Food & Dining
Överföring via internet	Transfer
CHICKEN HUT REST	Food & Dining
BILTEMA SWEDEN G	Shopping
Universeum	Entertainment
maritiman.se	Entertainment
TURKISK SULTAN	Food & Dining
Swish mottagen +46722573580	Transfer
4128810 Pressbyr	Shopping
ICA NARA KVILLEB	Food & Dining
WILLYS WIESELGRE	Food & Dining
prev mth saved	Income
UBER *EATS	Food & Dining
LÖN	Income
Netflix.com	Entertainment
Abdul Frisorsalo	Health & Beauty
DAHLS BAGERI	Food & Dining
GOOGLE *Google P	Entertainment
Swish skickad +46739085579	Transfer
DOLLARSTORE 210	Shopping
Jysk Backaplan	Shopping
WILLYS HEMMA KVI	Food & Dining
CHING PALACE	Food & Dining
Sannegardens Piz	Food & Dining
Swish skickad +46793582472	Transfer
hallon	Bills & Utilities
WILLYS WIESELGRE	Food & Dining
WILLYS WIESELGRE	Food & Dining
MEVLANAGOTEBORG.	Food & Dining
Swish mottagen +46793582472	Transfer
INDIAN FOOD HOUS	Food & Dining
WILLYS HEMMA KVI	Food & Dining
HEMKÖP GÖTEBORG	Food & Dining
Zettle_*Bangkok	Entertainment
KINTO SHARE SWED	Transfer
KINTO SHARE SWED	Transfer
CAFE HUSAREN	Food & Dining
BOLT.EU/O/230814	Travel & Transport
FTC Vastra Frolu	Bills & Utilities
Alkemisten Lindh	Food & Dining
PARKERING G@TEB	Auto & Transport
HAMMARHALLEN AB	Entertainment
Swish Västtrafik To Go	Transfer
Swish Västtrafik To Go	Transfer
Google Play Apps	Entertainment
Google Play Apps	Entertainment
OTTER.AI	Entertainment
TURKISK SULTAN	Food & Dining
NORMAL G@TEBORG	Shopping
Swish Easypark AB	Bills & Utilities
Swish Västtrafik To Go	Transfer
WILLYS WIESELGRE	Food & Dining
479999 FUELSTATION	Auto & Transport
WILLYS HEMMA KVI	Food & Dining
Swish Västtrafik To Go	Transfer
WILLYS HEMMA KVI	Food & Dining
APNA BAZAR KVILL	Food & Dining
Swish skickad +46704692993	Transfer
GLADE JOHANS GOD	Food & Dining
CEVICHE	Food & Dining
Swish skickad +46760502050	Transfer
WILLYS WIESELGRE	Food & Dining
WILLYS HEMMA VÅR	Food & Dining
WILLYS HEMMA VÅR	Food & Dining
hallon	Bills & Utilities
